Marka,Model,Godiste,Kilometraza,Karoserija,Gorivo,Kubikaza,Snaga motora,Cena,EKM,Pogon,Menjac,Klima,Boja,Materijal enterijera,prosek_god_km,Starost,Km_cat
BMW,116,2008,218500,Hecbek,Benzin,1.6,120,4270.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,16807.69230769231,13,210000-220000
BMW,116,2012,235800,Hecbek,Benzin,1.6,135,7990.0,Euro 6 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crvena,Stof,26200.0,9,230000-240000
BMW,116,2007,183979,Hecbek,Benzin + Gas (TNG),1.6,115,3850.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,13141.357142857143,14,180000-190000
BMW,116,2013,158250,Hecbek,Dizel,1.6,115,7999.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Prirodna koza,19781.25,8,150000-160000
BMW,116,2005,260000,Hecbek,Benzin,1.6,115,3250.0,Euro 4 ,Zadnji ,Manuelni 5 brzina ,Automatska klima ,Siva,Stof,16250.0,16,260000-270000
BMW,116,2008,225000,Hecbek,Benzin,1.6,120,4250.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,17307.69230769231,13,220000-230000
BMW,116,2007,240000,Hecbek,Benzin,1.6,120,3850.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,17142.85714285714,14,240000-250000
BMW,116,2008,148582,Hecbek,Benzin,1.6,120,4200.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Drugi,11429.384615384615,13,140000-150000
BMW,116,2008,241500,Hecbek,Benzin,1.6,120,4550.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,18576.923076923078,13,240000-250000
BMW,116,2006,253133,Hecbek,Benzin,1.6,115,3600.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Siva,Stof,16875.533333333333,15,250000-260000
BMW,116,2006,222980,Hecbek,Benzin,1.6,115,3800.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,14865.333333333334,15,220000-230000
BMW,116,2004,195000,Hecbek,Benzin,1.6,115,3000.0,Euro 4 ,Zadnji ,Manuelni 5 brzina ,Automatska klima ,Siva,Stof,11470.588235294117,17,190000-200000
BMW,116,2006,197350,Hecbek,Benzin,1.6,115,3490.0,Euro 4 ,Zadnji ,Manuelni 5 brzina ,Manuelna klima ,Druga,Prirodna koza,13156.666666666666,15,190000-200000
BMW,116,2007,227000,Hecbek,Benzin,1.6,120,3750.0,Euro 5 ,Zadnji ,Manuelni 5 brzina ,Automatska klima ,Bela,Stof,16214.285714285714,14,220000-230000
BMW,116,2011,185000,Hecbek,Benzin,1.6,135,8600.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,18500.0,10,180000-190000
BMW,116,2013,207000,Hecbek,Benzin,1.6,135,8200.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Bela,Stof,25875.0,8,200000-210000
BMW,116,2008,235000,Hecbek,Benzin,1.6,120,3200.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,18076.923076923078,13,230000-240000
BMW,116,2004,229403,Hecbek,Benzin + Gas (TNG),1.6,115,3100.0,Euro 4 ,Zadnji ,Manuelni 5 brzina ,Manuelna klima ,Siva,Stof,13494.29411764706,17,220000-230000
BMW,116,2012,211765,Hecbek,Dizel,2.0,115,7990.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Kombinovana koza,23529.444444444445,9,210000-220000
BMW,116,2010,236765,Hecbek,Dizel,2.0,115,5200.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,21524.090909090908,11,230000-240000
BMW,116,2012,226130,Hecbek,Dizel,2.0,115,8500.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,25125.555555555555,9,220000-230000
BMW,116,2010,187026,Hecbek,Dizel,2.0,115,5200.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,17002.363636363636,11,180000-190000
BMW,116,2013,150000,Hecbek,Dizel,2.0,115,8499.0,Euro 5 ,Zadnji ,Automatski / poluautomatski ,Automatska klima ,Crna,Stof,18750.0,8,150000-160000
BMW,116,2012,251357,Hecbek,Dizel,2.0,115,8590.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,27928.555555555555,9,250000-260000
BMW,116,2013,273000,Hecbek,Dizel,2.0,115,8790.0,Euro 5 ,Zadnji ,Automatski / poluautomatski ,Automatska klima ,Plava,Stof,34125.0,8,270000-280000
BMW,116,2012,161300,Hecbek,Dizel,2.0,115,8500.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Kombinovana koza,17922.222222222223,9,160000-170000
BMW,116,2009,207199,Hecbek,Dizel,2.0,115,4600.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,17266.583333333332,12,200000-210000
BMW,116,2013,230000,Hecbek,Dizel,2.0,115,8200.0,Euro 5 ,Prednji ,Manuelni 6 brzina ,Automatska klima ,Bela,Stof,28750.0,8,230000-240000
BMW,116,2009,183500,Hecbek,Benzin,2.0,120,5000.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,15291.666666666666,12,180000-190000
BMW,116,2013,189000,Hecbek,Dizel,2.0,115,8200.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,23625.0,8,180000-190000
BMW,116,2010,171701,Hecbek,Benzin,2.0,120,6800.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,15609.181818181818,11,170000-180000
BMW,116,2010,242000,Hecbek,Dizel,2.0,115,5800.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Bela,Stof,22000.0,11,240000-250000
BMW,116,2014,216348,Hecbek,Dizel,2.0,115,9300.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Plava,Stof,30906.85714285714,7,210000-220000
BMW,116,2012,241000,Hecbek,Dizel,2.0,115,8200.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Bela,Stof,26777.777777777777,9,240000-250000
BMW,116,2008,196000,Hecbek,Benzin,2.0,120,4490.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crvena,Stof,15076.923076923076,13,190000-200000
BMW,116,2015,139417,Hecbek,Dizel,2.0,115,10500.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,23236.166666666668,6,130000-140000
BMW,116,2011,245900,Hecbek,Dizel,2.0,115,7200.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Prirodna koza,24590.0,10,240000-250000
BMW,116,2010,257294,Hecbek,Dizel,2.0,115,5450.0,Euro 5 ,Prednji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,23390.363636363636,11,250000-260000
BMW,116,2011,176000,Hecbek,Benzin,2.0,120,5450.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,17600.0,10,170000-180000
BMW,116,2010,256000,Hecbek,Dizel,2.0,115,5500.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,23272.727272727272,11,250000-260000
BMW,116,2009,183313,Hecbek,Dizel,2.0,115,4500.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Bela,Stof,15276.083333333334,12,180000-190000
BMW,116,2009,180000,Hecbek,Dizel,2.0,115,5300.0,Euro 4 ,Prednji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,15000.0,12,180000-190000
BMW,116,2010,235000,Hecbek,Dizel,2.0,115,6200.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,21363.636363636364,11,230000-240000
BMW,116,2013,166000,Hecbek,Dizel,2.0,115,8999.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Bela,Stof,20750.0,8,160000-170000
BMW,116,2009,235000,Hecbek,Benzin,2.0,120,4700.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,19583.333333333332,12,230000-240000
BMW,116,2009,149537,Hecbek,Benzin,2.0,120,4599.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,12461.416666666666,12,140000-150000
BMW,116,2009,236000,Hecbek,Dizel,2.0,115,5300.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Bela,Stof,19666.666666666668,12,230000-240000
BMW,116,2010,202500,Hecbek,Dizel,2.0,115,6000.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,18409.090909090908,11,200000-210000
BMW,116,2012,245000,Hecbek,Dizel,2.0,115,8490.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,27222.222222222223,9,240000-250000
BMW,116,2011,237400,Hecbek,Dizel,2.0,115,7099.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,23740.0,10,230000-240000
BMW,116,2012,161300,Hecbek,Dizel,2.0,115,8500.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Kombinovana koza,17922.222222222223,9,160000-170000
BMW,118,2010,227000,Hecbek,Dizel,1.9,145,5500.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,20636.363636363636,11,220000-230000
BMW,118,2006,216000,Hecbek,Dizel,1.9,120,3850.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,14400.0,15,210000-220000
BMW,118,2004,290000,Hecbek,Dizel,1.9,120,3900.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,17058.823529411766,17,290000-300000
BMW,118,2007,222650,Hecbek,Dizel,2.0,145,4250.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,15903.57142857143,14,220000-230000
BMW,118,2008,179512,Hecbek,Dizel,2.0,145,4790.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Siva,Stof,13808.615384615385,13,170000-180000
BMW,118,2007,187535,Hecbek,Dizel,2.0,145,4400.0,Euro 4 ,Prednji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,13395.357142857143,14,180000-190000
BMW,118,2008,178100,Hecbek,Dizel,2.0,145,4500.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,13700.0,13,170000-180000
BMW,118,2012,191000,Hecbek,Dizel,2.0,145,8950.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Siva,Stof,21222.222222222223,9,190000-200000
BMW,118,2007,169000,Hecbek,Dizel,2.0,120,3999.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,12071.42857142857,14,160000-170000
BMW,118,2009,230000,Hecbek,Dizel,2.0,145,4950.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,19166.666666666668,12,230000-240000
BMW,118,2005,184000,Hecbek,Dizel,2.0,120,3899.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Kombinovana koza,11500.0,16,180000-190000
BMW,118,2013,160000,Hecbek,Dizel,2.0,145,8320.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Plava,Prirodna koza,20000.0,8,160000-170000
BMW,118,2006,160268,Hecbek,Dizel,2.0,120,3699.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,10684.533333333333,15,160000-170000
BMW,118,2005,178422,Hecbek,Dizel,2.0,120,4190.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,11151.375,16,170000-180000
BMW,118,2007,177000,Hecbek,Dizel,2.0,145,4200.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,12642.857142857143,14,170000-180000
BMW,118,2012,192000,Hecbek,Dizel,2.0,145,7700.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Prirodna koza,21333.333333333332,9,190000-200000
BMW,118,2004,240000,Hecbek,Dizel,2.0,120,3399.0,Euro 3 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,14117.64705882353,17,240000-250000
BMW,118,2009,208000,Hecbek,Dizel,2.0,145,5900.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,17333.333333333332,12,200000-210000
BMW,118,2016,219000,Hecbek,Dizel,2.0,150,11990.0,Euro 6 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Plava,Stof,43800.0,5,210000-220000
BMW,118,2005,178111,Hecbek,Dizel,2.0,120,4300.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,11131.9375,16,170000-180000
BMW,118,2005,222000,Hecbek,Dizel,2.0,120,3650.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Druga,Stof,13875.0,16,220000-230000
BMW,118,2008,220000,Hecbek,Dizel,2.0,120,4300.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Prirodna koza,16923.076923076922,13,220000-230000
BMW,118,2007,161521,Hecbek,Dizel,2.0,145,4150.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,11537.214285714286,14,160000-170000
BMW,118,2007,205000,Hecbek,Dizel,2.0,145,4300.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Siva,Stof,14642.857142857143,14,200000-210000
BMW,118,2011,186000,Hecbek,Dizel,2.0,145,6900.0,Euro 5 ,Zadnji ,Automatski / poluautomatski ,Automatska klima ,Bela,Stof,18600.0,10,180000-190000
BMW,118,2008,232000,Hecbek,Dizel,2.0,145,4850.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Bela,Kombinovana koza,17846.153846153848,13,230000-240000
BMW,118,2007,183000,Hecbek,Dizel,2.0,145,4399.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,13071.42857142857,14,180000-190000
BMW,118,2006,251662,Hecbek,Dizel,2.0,120,4000.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,16777.466666666667,15,250000-260000
BMW,118,2006,225000,Hecbek,Dizel,2.0,120,3850.0,Euro 3 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,15000.0,15,220000-230000
BMW,118,2008,189000,Hecbek,Dizel,2.0,145,4400.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Siva,Stof,14538.461538461539,13,180000-190000
BMW,118,2007,178000,Hecbek,Dizel,2.0,145,3999.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,12714.285714285714,14,170000-180000
BMW,118,2006,167253,Hecbek,Dizel,2.0,120,4490.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,11150.2,15,160000-170000
BMW,118,2006,249500,Hecbek,Dizel,2.0,120,4200.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Plava,Stof,16633.333333333332,15,240000-250000
BMW,118,2005,210000,Hecbek,Dizel,2.0,120,4300.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,13125.0,16,210000-220000
BMW,118,2007,179800,Hecbek,Benzin,2.0,145,4200.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Druga,Kombinovana koza,12842.857142857143,14,170000-180000
BMW,118,2006,170590,Hecbek,Dizel,2.0,120,3950.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Druga,Stof,11372.666666666666,15,170000-180000
BMW,118,2006,252000,Hecbek,Dizel,2.0,120,4000.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Druga,Prirodna koza,16800.0,15,250000-260000
BMW,118,2007,185998,Hecbek,Benzin,2.0,145,4200.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Bela,Stof,13285.57142857143,14,180000-190000
BMW,118,2012,265083,Hecbek,Dizel,2.0,135,8550.0,Euro 5 ,Prednji ,Manuelni 6 brzina ,Automatska klima ,Crna,Prirodna koza,29453.666666666668,9,260000-270000
BMW,118,2006,113999,Hecbek,Dizel,2.0,145,3800.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Druga,Stof,7599.933333333333,15,110000-120000
BMW,118,2011,189000,Hecbek,Dizel,2.0,145,6000.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,18900.0,10,180000-190000
BMW,118,2007,200000,Hecbek,Dizel,2.0,120,4000.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,14285.714285714286,14,200000-210000
BMW,118,2005,306467,Hecbek,Dizel,2.0,120,3800.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,19154.1875,16,300000-310000
BMW,118,2008,313500,Hecbek,Dizel,2.0,135,4990.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,24115.384615384617,13,310000-320000
BMW,118,2006,230900,Hecbek,Dizel,2.0,120,4250.0,Euro 4 ,Prednji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,15393.333333333334,15,230000-240000
BMW,118,2013,172000,Hecbek,Dizel,2.0,145,9850.0,Euro 5 ,Zadnji ,Automatski / poluautomatski ,Manuelna klima ,Crna,Stof,21500.0,8,170000-180000
BMW,118,2006,260770,Hecbek,Dizel,2.0,120,3699.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Siva,Stof,17384.666666666668,15,260000-270000
BMW,118,2008,177212,Hecbek,Dizel,2.0,145,4499.0,Euro 4 ,Prednji ,Manuelni 6 brzina ,Manuelna klima ,Siva,Stof,13631.692307692309,13,170000-180000
BMW,118,2007,191250,Hecbek,Dizel,2.0,145,4500.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Bela,Prirodna koza,13660.714285714286,14,190000-200000
BMW,118,2004,248000,Hecbek,Dizel,2.0,120,3250.0,Euro 3 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Plava,Stof,14588.235294117647,17,240000-250000
BMW,118,2012,248000,Hecbek,Dizel,2.0,145,9950.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Bela,Stof,27555.555555555555,9,240000-250000
BMW,118,2008,310000,Hecbek,Dizel,2.0,135,4600.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Druga,Stof,23846.153846153848,13,310000-320000
BMW,118,2008,248000,Hecbek,Dizel,2.0,145,4300.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Drugi,19076.923076923078,13,240000-250000
BMW,118,2005,230000,Hecbek,Dizel,2.0,120,4000.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Crna,Stof,14375.0,16,230000-240000
BMW,118,2009,263000,Hecbek,Benzin,2.0,145,4700.0,Euro 5 ,Zadnji ,Manuelni 6 brzina ,Manuelna klima ,Siva,Stof,21916.666666666668,12,260000-270000
BMW,118,2006,194125,Hecbek,Dizel,2.0,120,4500.0,Euro 4 ,Prednji ,Manuelni 6 brzina ,Manuelna klima ,Plava,Stof,12941.666666666666,15,190000-200000
BMW,118,2010,188000,Hecbek,Dizel,2.0,145,6900.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Siva,Stof,17090.909090909092,11,180000-190000
BMW,118,2007,168852,Hecbek,Dizel,2.0,145,4500.0,Euro 4 ,Zadnji ,Manuelni 6 brzina ,Automatska klima ,Crna,Stof,12060.857142857143,14,160000-170000
BMW,118,2009,181553,Hecbek,Dizel,2.0,145,5490.0,Euro 4 ,Zadnji ,Automatski / poluautomatski ,Automatska klima ,Crna,Stof,15129.416666666666,12,180000-190000
